Station ID,Province,Longitude,Latitude,BFI
10CD005,BC,"58¡06'21"" N","122¡42'56"" W",0.649
08NL012,BC,"49¡27'49"" N","120¡28'08"" W",0.79
08NF005,BC,"50¡39'35"" N","115¡31'48"" W",0.759
08MH005,BC,"49¡14'20"" N","122¡34'47"" W",0.701
08LF084,BC,"50¡43'35"" N","121¡38'07"" W",0.774
08LF081,BC,"50¡44'13"" N","121¡34'34"" W",0.814
08LD001,BC,"50¡56'15"" N","119¡39'22"" W",0.88
08LC043,BC,"50¡06'17"" N","119¡04'23"" W",0.869
07FD004,BC,"56¡20'03"" N","120¡09'18"" W",0.854
07EA007,BC,"57¡11'28"" N","124¡54'04"" W",0.818
05PB018,ON,"48¡45'07"" N","91¡35'02"" W",0.996
04ME003,ON,"50¡36'10"" N","81¡24'52"" W",0.741
04GD001Ê,ON,"51¡38'29"" N","86¡23'27"" W",0.899
04FC002,ON,"52¡55'56"" N","83¡22'03"" W",0.98
04DB001,ON,"53¡42'42"" N","87¡57'12"" W",0.89
02JE027,ON,"46¡05'29"" N","78¡53'06"" W",0.935
02HB021,ON,"43¡13'52"" N","79¡58'25"" W",0.844
02FF010,ON,"43¡11'36"" N","81¡48'52"" W",0.912
02EA019,ON,"45¡40'08"" N","79¡44'42"" W",0.74
02CB003,ON,"46¡58'06"" N","83¡25'00"" W",0.797